Inverted Pendulum (Datalogger K)

Sampling interval = 2.5mS
Logging time (s) = 5
Zoomlevel = 10

Inverted state of displayed channels:
CD False
CP False
CV False
PP False
PV False
_____________________________________________

Time,CD,CP,CV,PP,PV

0.0000,2061,2121,2051,2032,2044
0.0025,2062,2121,2050,2032,2044
0.0050,2062,2121,2050,2033,2043
0.0075,2062,2121,2050,2032,2044
0.0100,2062,2122,2050,2033,2044
0.0125,2062,2122,2052,2033,2044
0.0150,2062,2121,2050,2032,2044
0.0175,2062,2121,2051,2033,2043
0.0200,2062,2121,2050,2032,2044
0.0225,2062,2121,2049,2032,2044
0.0250,2062,2121,2052,2033,2044
0.0275,2062,2121,2050,2033,2044
0.0300,2062,2121,2051,2032,2044
0.0325,2062,2121,2050,2033,2044
0.0350,2062,2121,2050,2032,2044
0.0375,2062,2121,2052,2033,2044
0.0400,2062,2121,2051,2033,2044
0.0425,2062,2121,2050,2033,2044
0.0450,2061,2120,2050,2033,2044
0.0475,2062,2121,2050,2032,2044
0.0500,2061,2120,2052,2033,2044
0.0525,2062,2122,2050,2033,2044
0.0550,2061,2121,2050,2032,2045
0.0575,2062,2122,2050,2032,2044
0.0600,2062,2122,2050,2033,2044
0.0625,2061,2121,2052,2033,2044
0.0650,2061,2121,2050,2033,2044
0.0675,2062,2121,2050,2032,2044
0.0700,2062,2122,2050,2033,2044
0.0725,2061,2120,2050,2033,2044
0.0750,2062,2121,2051,2032,2044
0.0775,2061,2121,2050,2033,2043
0.0800,2062,2121,2050,2032,2044
0.0825,2062,2121,2051,2032,2043
0.0850,2062,2120,2050,2033,2044
0.0875,2061,2120,2052,2032,2044
0.0900,2061,2121,2050,2032,2044
0.0925,2062,2121,2050,2033,2044
0.0950,2061,2121,2050,2034,2044
0.0975,2062,2121,2051,2033,2044
0.1000,2062,2121,2052,2034,2044
0.1025,2061,2121,2050,2032,2044
0.1050,2062,2121,2051,2033,2044
0.1075,2061,2121,2050,2032,2044
0.1100,2062,2121,2051,2033,2044
0.1125,2062,2121,2053,2033,2044
0.1150,2061,2121,2051,2033,2043
0.1175,2062,2121,2050,2033,2044
0.1200,2061,2121,2051,2033,2044
0.1225,2062,2121,2050,2033,2044
0.1250,2062,2121,2051,2032,2044
0.1275,2062,2122,2050,2032,2044
0.1300,2062,2120,2051,2032,2044
0.1325,2062,2122,2050,2033,2044
0.1350,2062,2121,2050,2033,2044
0.1375,2062,2122,2051,2033,2044
0.1400,2061,2121,2050,2032,2044
0.1425,2062,2121,2049,2033,2044
0.1450,2062,2121,2050,2033,2044
0.1475,2062,2120,2050,2033,2044
0.1500,2061,2121,2053,2033,2044
0.1525,2062,2121,2050,2032,2044
0.1550,2062,2121,2050,2033,2044
0.1575,2062,2121,2050,2032,2044
0.1600,2062,2122,2050,2032,2044
0.1625,2061,2121,2051,2033,2044
0.1650,2062,2121,2050,2032,2044
0.1675,2062,2121,2050,2033,2044
0.1700,2061,2121,2050,2033,2044
0.1725,2062,2120,2050,2033,2044
0.1750,2061,2121,2051,2033,2044
0.1775,2062,2121,2050,2032,2044
0.1800,2061,2121,2050,2033,2043
0.1825,2061,2122,2050,2032,2044
0.1850,2062,2121,2051,2032,2044
0.1875,2062,2121,2052,2033,2044
0.1900,2062,2121,2050,2033,2044
0.1925,2062,2122,2050,2033,2044
0.1950,2062,2121,2051,2033,2044
0.1975,2062,2121,2050,2032,2044
0.2000,2062,2121,2052,2033,2044
0.2025,2062,2121,2050,2033,2044
0.2050,2061,2121,2050,2033,2044
0.2075,2061,2121,2050,2032,2044
0.2100,2062,2121,2050,2033,2044
0.2125,2061,2121,2052,2033,2044
0.2150,2062,2120,2050,2032,2045
0.2175,2062,2121,2051,2032,2044
0.2200,2062,2121,2050,2032,2044
0.2225,2061,2121,2050,2032,2043
0.2250,2061,2121,2052,2032,2043
0.2275,2062,2120,2050,2033,2044
0.2300,2062,2121,2050,2032,2044
0.2325,2061,2121,2051,2033,2044
0.2350,2062,2120,2050,2032,2044
0.2375,2062,2121,2052,2032,2044
0.2400,2061,2122,2050,2032,2044
0.2425,2062,2121,2050,2033,2044
0.2450,2062,2121,2050,2033,2043
0.2475,2061,2121,2050,2032,2043
0.2500,2062,2121,2051,2033,2044
0.2525,2062,2121,2050,2033,2044
0.2550,2062,2121,2049,2033,2044
0.2575,2062,2122,2050,2033,2044
0.2600,2062,2122,2050,2032,2044
0.2625,2062,2121,2052,2033,2044
0.2650,2062,2122,2050,2033,2044
0.2675,2062,2121,2050,2032,2043
0.2700,2062,2122,2051,2033,2044
0.2725,2062,2121,2050,2033,2044
0.2750,2061,2121,2052,2033,2044
0.2775,2061,2121,2050,2032,2043
0.2800,2062,2120,2051,2033,2044
0.2825,2062,2121,2050,2033,2045
0.2850,2062,2122,2050,2032,2044
0.2875,2061,2121,2052,2032,2044
0.2900,2062,2122,2050,2032,2044
0.2925,2062,2121,2050,2033,2044
0.2950,2062,2121,2050,2033,2044
0.2975,2062,2121,2050,2032,2043
0.3000,2062,2120,2052,2032,2044
0.3025,2062,2121,2050,2033,2044
0.3050,2062,2120,2050,2033,2044
